Date,Workout,Exercise,Weight,Sets,Reps
2017-03-13,Power Upper,Lat Pull Down,60,4,10
2017-03-23,Power Upper,Lat Pull Down,60,4,10
2017-03-27,Power Upper,Lat Pull Down,60,4,10
2017-04-03,Power Upper,Lat Pull Down,60,4,10
2017-04-09,Power Upper,Lat Pull Down,60,4,10
2017-04-20,Power Upper,Lat Pull Down,70,4,8
2017-04-24,Power Upper,Lat Pull Down,70,4,8
2017-05-01,Power Upper,Lat Pull Down,70,4,8
2017-05-09,Power Upper,Lat Pull Down,70,4,8
2017-05-15,Power Upper,Lat Pull Down,70,4,9
2017-06-01,Power Upper,Lat Pull Down,60,4,10
2017-06-05,Power Upper,Lat Pull Down,60,4,10
2017-06-12,Power Upper,Lat Pull Down,60,4,10
2017-06-17,Power Upper,Lat Pull Down,60,4,10
2017-06-26,Power Upper,Lat Pull Down,60,4,10
2017-07-18,Power Upper,Lat Pull Down,50,4,10
2017-07-25,Power Upper,Lat Pull Down,55,4,10
2017-07-31,Power Upper,Lat Pull Down,55,4,10
2017-08-10,Power Upper,Lat Pull Down,55,4,10
2017-08-14,Power Upper,Lat Pull Down,60,4,10
2017-08-21,Power Upper,Lat Pull Down,60,4,10
2017-08-28,Power Upper,Lat Pull Down,60,4,10
2017-09-07,Power Upper,Lat Pull Down,65,4,10
2017-09-11,Power Upper,Lat Pull Down,65,4,10
2017-09-19,Power Upper,Lat Pull Down,65,4,10
2017-09-25,Power Upper,Lat Pull Down,70,4,10
2017-10-04,Power Upper,Lat Pull Down,70,4,8
2017-10-12,Power Upper,Lat Pull Down,60,4,10
2017-10-19,Power Upper,Lat Pull Down,60,4,10
2017-10-26,Power Upper,Lat Pull Down,60,4,10
2017-11-06,Power Upper,Lat Pull Down,60,4,10
2016-12-26,Power Upper,Overhead Press,60,2,8
2017-01-02,Power Upper,Overhead Press,60,2,8
2017-01-09,Power Upper,Overhead Press,60,2,8
2017-01-16,Power Upper,Overhead Press,60,2,8
2017-01-23,Power Upper,Overhead Press,60,3,8
2017-01-30,Power Upper,Overhead Press,60,3,8
2017-02-06,Power Upper,Overhead Press,70,3,6
2017-02-13,Power Upper,Overhead Press,70,3,8
